Speaker,Token,Pitch,Time,Sex,YOB,Tone
20,maw6,194,0.5,F,1949,5
20,maw6,202,0.75,F,1949,5
20,maw6,191,1,F,1949,5
21,ma1,243,0,F,1952,1
21,ma1,239,0.25,F,1952,1
21,ma1,234,0.5,F,1952,1
21,ma1,232,0.75,F,1952,1
21,ma1,225,1,F,1952,1
21,ma2,189,0,F,1952,6
21,ma2,178,0.25,F,1952,6
21,ma2,175,0.5,F,1952,6
21,ma2,178,0.75,F,1952,6
21,ma2,188,1,F,1952,6
21,maj3,218,0,F,1952,2
21,maj3,227,0.25,F,1952,2
21,maj3,216,0.5,F,1952,2
21,maj3,199,0.75,F,1952,2
21,maj3,181,1,F,1952,2
21,maj4,280,0,F,1952,3
21,maj4,294,0.25,F,1952,3
21,maj4,308,0.5,F,1952,3
21,maj4,273,0.75,F,1952,3
21,maj4,248,1,F,1952,3
21,maj5,184,0,F,1952,4
21,maj5,185,0.25,F,1952,4
21,maj5,210,0.5,F,1952,4
21,maj5,207,0.75,F,1952,4
21,maj5,186,1,F,1952,4
21,maw6,212,0,F,1952,5
21,maw6,197,0.25,F,1952,5
21,maw6,192,0.5,F,1952,5
21,maw6,216,0.75,F,1952,5
21,maw6,239,1,F,1952,5
22,ma1,254,0,F,1945,1
22,ma1,246,0.25,F,1945,1
22,ma1,241,0.5,F,1945,1
22,ma1,239,0.75,F,1945,1
22,ma1,231,1,F,1945,1
22,ma2,218,0,F,1945,6
22,ma2,182,0.25,F,1945,6
22,ma2,179,0.5,F,1945,6
22,ma2,177,0.75,F,1945,6
22,ma2,183,1,F,1945,6
22,maj3,245,0,F,1945,2
22,maj3,242,0.25,F,1945,2
22,maj3,226,0.5,F,1945,2
22,maj3,197,0.75,F,1945,2
22,maj3,168,1,F,1945,2
22,maj4,271,0,F,1945,3
22,maj4,288,0.25,F,1945,3
22,maj4,294,0.5,F,1945,3
22,maj4,233,0.75,F,1945,3
22,maj4,199,1,F,1945,3
22,maj5,183,0,F,1945,4
22,maj5,207,0.25,F,1945,4
22,maj5,230,0.5,F,1945,4
22,maj5,212,0.75,F,1945,4
22,maj5,178,1,F,1945,4
22,maw6,237,0,F,1945,5
22,maw6,240,0.25,F,1945,5
22,maw6,242,0.5,F,1945,5
22,maw6,249,0.75,F,1945,5
22,maw6,286,1,F,1945,5
23,ma1,213,0,F,1967,1
23,ma1,206,0.25,F,1967,1
23,ma1,203,0.5,F,1967,1
23,ma1,200,0.75,F,1967,1
23,ma1,219,1,F,1967,1
23,ma2,180,0,F,1967,6
23,ma2,171,0.25,F,1967,6
23,ma2,165,0.5,F,1967,6
23,ma2,164,0.75,F,1967,6
23,ma2,160,1,F,1967,6
23,maj3,188,0,F,1967,2
23,maj3,196,0.25,F,1967,2
23,maj3,199,0.5,F,1967,2
23,maj3,190,0.75,F,1967,2
23,maj3,177,1,F,1967,2
23,maj4,233,0,F,1967,3
23,maj4,146,0.25,F,1967,3
23,maj4,264,0.5,F,1967,3
23,maj4,256,0.75,F,1967,3
23,maj4,249,1,F,1967,3
23,maj5,172,0,F,1967,4
23,maj5,165,0.25,F,1967,4
23,maj5,179,0.5,F,1967,4
23,maj5,184,0.75,F,1967,4
23,maj5,187,1,F,1967,4
23,maw6,194,0,F,1967,5
23,maw6,186,0.25,F,1967,5
